	Group.1	x	category	diff	Similar?	"levels(train$cat98)[levels(train$cat98)==""beta""] <- ""two"""
197	A	3062.414535	cat98	498.5932726	YES	
421	D	3062.972067	cat98	0.557531938	YES	"levels(train$cat98)[levels(train$cat98==""D""] <- ""A"""
581	CH	1679.606667	cat109	32.89703704	NO	
391	BN	1680.49	cat109	0.883333333	NO	
80	U	1876.680513	cat109	8.445512821	NO	
641	E	1877.167059	cat109	0.486546003	NO	
791	T	1964.498136	cat109	4.793135593	YES	
2910	BD	1965.152558	cat109	0.654422546	YES	"levels(train$cat109)[levels(train$cat109==""BD""] <- ""T"""
1219	O	1370.547019	cat110	59.00201923	NO	
719	AF	1371.026667	cat110	0.479647436	NO	
301	BD	1576.5	cat110	2.833888889	NO	
2611	B	1576.530833	cat110	0.030833333	NO	
462	BU	1683.575	cat110	5.273461538	NO	
801	DE	1684.250714	cat110	0.675714286	NO	
742	CY	1931.499	cat110	14.96215534	NO	
1171	J	1932.153182	cat110	0.654181818	NO	
1814	AR	2671.805	cat110	1.506468354	YES	
851	DJ	2672.629185	cat110	0.824184549	YES	"levels(train$cat110)[levels(train$cat110==""DJ""] <- ""AR"""
1241	R	3052.4375	cat110	5.029514683	NO	
662	CQ	3053.205075	cat110	0.767574901	NO	
1012	M	6090.626152	cat111	198.9711522	YES	
1123	O	6091.215928	cat111	0.589775382	YES	"levels(train$cat111)[levels(train$cat111==""O""] <- ""M"""
2113	AA	2787.083884	cat112	2.225300455	YES	
2612	AY	2787.467666	cat112	0.383782231	YES	"levels(train$cat112)[levels(train$cat112==""AY""] <- ""AA"""
393	M	2816.543667	cat112	13.20827962	YES	
502	X	2816.713578	cat112	0.169910952	YES	"levels(train$cat112)[levels(train$cat112==""X""] <- ""M"""
3310	G	3250.231455	cat112	16.83787794	YES	
2912	C	3250.374479	cat112	0.143024221	YES	"levels(train$cat112)[levels(train$cat112==""C""] <- ""G"""
484	J	3093.887253	cat113	17.7860628	YES	
1521	AO	3094.479816	cat113	0.592562907	YES	"levels(train$cat113)[levels(train$cat113==""AO""] <- ""J"""
1130	K	3016.756872	cat115	7.734564145	YES	
1423	N	3017.671585	cat115	0.914712975	YES	"levels(train$cat115)[levels(train$cat115==""N""] <- ""K"""
2120	AB	1159.305	cat116	33.145	NO	
1325	AN	1159.4	cat116	0.095	NO	
1581	GO	2106.703929	cat116	2.667261905	NO	
307	MO	2107.343939	cat116	0.640010823	NO	
2951	MC	2235.920233	cat116	10.30356657	NO	
1371	FS	2236.05	cat116	0.129766764	NO	
1921	HX	2472.334262	cat116	31.62754757	NO	
544	CI	2473.206142	cat116	0.871879694	NO	
901	DT	2540.790741	cat116	7.560740741	NO	
1971	IC	2541.663319	cat116	0.872578468	NO	
1242	FF	2546.054412	cat116	4.391092556	NO	
1361	FR	2546.349658	cat116	0.29524603	NO	
1032	EG	2607.503939	cat116	4.178939394	NO	
843	DN	2607.658391	cat116	0.154451411	NO	
2541	KK	2760.784375	cat116	15.12164773	NO	
1172	EY	2761.427992	cat116	0.643616632	NO	
882	DR	3070.845	cat116	7.700865385	NO	
1623	GS	3071.702023	cat116	0.857022665	NO	
862	DP	3107.697517	cat116	13.10238171	NO	
1072	EK	3108.070532	cat116	0.373015237	NO	
2961	MD	3162.816929	cat116	7.021463483	YES	
2831	LO	3162.963228	cat116	0.146299094	YES	"levels(train$cat116)[levels(train$cat116==""LO""] <- ""MD"""
1525	GI	3211.686463	cat116	6.448951478	YES	
1082	EL	3212.115775	cat116	0.429312066	YES	"levels(train$cat116)[levels(train$cat116==""EL""] <- ""GI"""
1262	FH	3309.2538	cat116	10.82235031	NO	
2691	LA	3309.820588	cat116	0.566788653	NO	
1202	FB	3422.093667	cat116	25.7664905	YES	
365	BP	3422.566237	cat116	0.472569354	YES	"levels(train$cat116)[levels(train$cat116==""BP""] <- ""FB"""
1591	GP	3514.688095	cat116	17.32095238	NO	
2641	KV	3514.893333	cat116	0.205238095	NO	
350	AC	3832.058588	cat116	3.797788235	YES	
2401	JW	3832.286513	cat116	0.227924585	YES	"levels(train$cat116)[levels(train$cat116==""JW""] <- ""AC"""
24011	JW	3832.286513	cat116	0.227924585	NO	
304	ML	3833.005385	cat116	0.718871795	NO	
3041	ML	3833.005385	cat116	0.718871795	NO	
2601	KR	3833.55921	cat116	0.553825404	NO	
2681	L	4678.647778	cat116	3.800603865	YES	
1831	HN	4679.315829	cat116	0.668051715	YES	"levels(train$cat116)[levels(train$cat116==""HN""] <- ""L"""
